id,released,title,url
1,788918400000,'Toy Story (1995)','http://us.imdb.com/M/title-exact?Toy%20Story%20(1995)'
2,788918400000,'GoldenEye (1995)','http://us.imdb.com/M/title-exact?GoldenEye%20(1995)'
3,788918400000,'Four Rooms (1995)','http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995)'
4,788918400000,'Get Shorty (1995)','http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995)'
5,788918400000,'Copycat (1995)','http://us.imdb.com/M/title-exact?Copycat%20(1995)'
6,788918400000,'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)','http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995)'
7,788918400000,'Twelve Monkeys (1995)','http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995)'
8,788918400000,'Babe (1995)','http://us.imdb.com/M/title-exact?Babe%20(1995)'
9,788918400000,'Dead Man Walking (1995)','http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995)'
10,822268800000,'Richard III (1995)','http://us.imdb.com/M/title-exact?Richard%20III%20(1995)'
